Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 3,15,15,5000,0.2,0.8,50,1.01,100,1942,1643,8.466570615768433
tai15_15.txt - Instance 4,15,15,5000,0.2,0.8,50,1.01,100,1946,1675,8.249408721923828
tai15_15.txt - Instance 5,15,15,5000,0.2,0.8,50,1.01,100,1725,1696,8.832982301712036
tai15_15.txt - Instance 6,15,15,5000,0.2,0.8,50,1.01,100,1739,1632,8.023545980453491
tai15_15.txt - Instance 7,15,15,5000,0.2,0.8,50,1.01,100,1993,1678,9.206846475601196
tai15_15.txt - Instance 8,15,15,5000,0.2,0.8,50,1.01,100,1904,1656,8.532546281814575
tai15_15.txt - Instance 9,15,15,5000,0.2,0.8,50,1.01,100,2057,1764,8.72195291519165
tai15_15.txt - Instance 10,15,15,5000,0.2,0.8,50,1.01,100,1808,1677,8.67734670639038
tai20_15.txt - Instance 1,20,15,5000,0.2,0.8,50,1.01,100,2225,2014,12.21619200706482
tai20_15.txt - Instance 2,20,15,5000,0.2,0.8,50,1.01,100,2266,2036,13.599415063858032
tai20_15.txt - Instance 3,20,15,5000,0.2,0.8,50,1.01,100,2183,1943,11.499621868133545
tai20_15.txt - Instance 4,20,15,5000,0.2,0.8,50,1.01,100,2278,1946,9.536150932312012
tai20_15.txt - Instance 5,20,15,5000,0.2,0.8,50,1.01,100,2335,1938,9.455340147018433
tai20_15.txt - Instance 6,20,15,5000,0.2,0.8,50,1.01,100,2089,2038,9.9555082321167
tai20_15.txt - Instance 7,20,15,5000,0.2,0.8,50,1.01,100,2112,2005,9.849737405776978
tai20_15.txt - Instance 8,20,15,5000,0.2,0.8,50,1.01,100,2197,2058,9.732683181762695
tai20_15.txt - Instance 9,20,15,5000,0.2,0.8,50,1.01,100,2123,1989,9.886002779006958
tai20_15.txt - Instance 10,20,15,5000,0.2,0.8,50,1.01,100,1910,1910,10.12979507446289
tai20_20.txt - Instance 1,20,20,5000,0.2,0.8,50,1.01,100,2679,2443,20.58263325691223
tai20_20.txt - Instance 2,20,20,5000,0.2,0.8,50,1.01,100,2519,2383,20.63248586654663
tai20_20.txt - Instance 3,20,20,5000,0.2,0.8,50,1.01,100,2449,2348,20.365925073623657
tai20_20.txt - Instance 4,20,20,5000,0.2,0.8,50,1.01,100,2773,2455,21.653880834579468
tai20_20.txt - Instance 5,20,20,5000,0.2,0.8,50,1.01,100,2679,2366,20.295060634613037
tai20_20.txt - Instance 6,20,20,5000,0.2,0.8,50,1.01,100,2297,2297,19.857524871826172
tai20_20.txt - Instance 7,20,20,5000,0.2,0.8,50,1.01,100,2870,2557,20.622711420059204
tai20_20.txt - Instance 8,20,20,5000,0.2,0.8,50,1.01,100,2621,2392,19.77616858482361
tai20_20.txt - Instance 9,20,20,5000,0.2,0.8,50,1.01,100,2689,2430,18.33937120437622
tai20_20.txt - Instance 10,20,20,5000,0.2,0.8,50,1.01,100,2691,2392,15.8663170337677
tai30_15.txt - Instance 1,30,15,5000,0.2,0.8,50,1.01,100,3120,2628,17.718017101287842
tai30_15.txt - Instance 2,30,15,5000,0.2,0.8,50,1.01,100,3071,2826,17.080362558364868
tai30_15.txt - Instance 3,30,15,5000,0.2,0.8,50,1.01,100,2795,2795,16.974792003631592
tai30_15.txt - Instance 4,30,15,5000,0.2,0.8,50,1.01,100,3068,2750,18.47682809829712
tai30_15.txt - Instance 5,30,15,5000,0.2,0.8,50,1.01,100,3114,2757,21.811662912368774
tai30_15.txt - Instance 6,30,15,5000,0.2,0.8,50,1.01,100,2967,2881,22.99953818321228
tai30_15.txt - Instance 7,30,15,5000,0.2,0.8,50,1.01,100,3144,2714,24.787951231002808
tai30_15.txt - Instance 8,30,15,5000,0.2,0.8,50,1.01,100,2463,2463,22.708391666412354
tai30_15.txt - Instance 9,30,15,5000,0.2,0.8,50,1.01,100,3175,2707,20.298386096954346
tai30_15.txt - Instance 10,30,15,5000,0.2,0.8,50,1.01,100,2940,2579,17.52358388900757
tai30_20.txt - Instance 1,30,20,5000,0.2,0.8,50,1.01,100,3166,3166,28.13516664505005
tai30_20.txt - Instance 2,30,20,5000,0.2,0.8,50,1.01,100,3411,3099,30.706284046173096
tai30_20.txt - Instance 3,30,20,5000,0.2,0.8,50,1.01,100,3220,3102,38.16792941093445
tai30_20.txt - Instance 4,30,20,5000,0.2,0.8,50,1.01,100,3337,3212,37.14508652687073
tai30_20.txt - Instance 5,30,20,5000,0.2,0.8,50,1.01,100,3360,3152,37.11529850959778
tai30_20.txt - Instance 6,30,20,5000,0.2,0.8,50,1.01,100,3326,3326,37.931843280792236
tai30_20.txt - Instance 7,30,20,5000,0.2,0.8,50,1.01,100,3050,3050,32.59620904922485
