Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai15_15.txt - Instance 5,15,15,200,0.1,0.01,10,0.9,10,1725,1725,0.43020033836364746
tai15_15.txt - Instance 6,15,15,200,0.1,0.01,10,0.9,10,1739,1739,0.4637918472290039
tai15_15.txt - Instance 7,15,15,200,0.1,0.01,10,0.9,10,1993,1812,0.4297904968261719
tai15_15.txt - Instance 8,15,15,200,0.1,0.01,10,0.9,10,1904,1740,0.47835278511047363
tai15_15.txt - Instance 9,15,15,200,0.1,0.01,10,0.9,10,2057,1937,0.4943666458129883
tai15_15.txt - Instance 10,15,15,200,0.1,0.01,10,0.9,10,1808,1661,0.47919774055480957
tai20_15.txt - Instance 1,20,15,200,0.1,0.01,10,0.9,10,2225,2096,0.7148699760437012
tai20_15.txt - Instance 2,20,15,200,0.1,0.01,10,0.9,10,2266,2174,0.6999876499176025
tai20_15.txt - Instance 3,20,15,200,0.1,0.01,10,0.9,10,2183,2129,0.7935919761657715
tai20_15.txt - Instance 4,20,15,200,0.1,0.01,10,0.9,10,2278,2108,0.7009501457214355
tai20_15.txt - Instance 5,20,15,200,0.1,0.01,10,0.9,10,2335,2144,0.698279857635498
tai20_15.txt - Instance 6,20,15,200,0.1,0.01,10,0.9,10,2089,2084,0.7326228618621826
tai20_15.txt - Instance 7,20,15,200,0.1,0.01,10,0.9,10,2112,2112,0.7010149955749512
tai20_15.txt - Instance 8,20,15,200,0.1,0.01,10,0.9,10,2197,2197,0.7306487560272217
tai20_15.txt - Instance 9,20,15,200,0.1,0.01,10,0.9,10,2123,2123,0.7318487167358398
tai20_15.txt - Instance 10,20,15,200,0.1,0.01,10,0.9,10,1910,1910,0.7255101203918457
tai20_20.txt - Instance 1,20,20,200,0.1,0.01,10,0.9,10,2679,2635,1.0862805843353271
tai20_20.txt - Instance 2,20,20,200,0.1,0.01,10,0.9,10,2519,2519,1.1654181480407715
